program_name,pass_name,time_s,memory_kb
build_benchmarks_linux_vmlinux.o,baseline,57.33,1828336
build_benchmarks_linux_vmlinux.o,fm-f3m,1028.41,1775188
build_benchmarks_linux_vmlinux.o,fm,919.72,1775264
build_benchmarks_linux_vmlinux.o,fm-ir2vec,9036.25,16530332
build_benchmarks_redis_redis,baseline,5.55,294148
build_benchmarks_redis_redis,fm-f3m,33.02,1039212
build_benchmarks_redis_redis,fm,32.99,1053492
build_benchmarks_redis_redis,fm-ir2vec,96.48,1813868
build_benchmarks_rustc-perf_bitmaps-3.1.0,baseline,8.11,370464
build_benchmarks_rustc-perf_bitmaps-3.1.0,fm-f3m,44.94,405424
build_benchmarks_rustc-perf_bitmaps-3.1.0,fm,59.90,469980
build_benchmarks_rustc-perf_bitmaps-3.1.0,fm-ir2vec,124.24,2529052
build_benchmarks_rustc-perf_cranelift-codegen-0.82.1,baseline,16.07,565044
build_benchmarks_rustc-perf_cranelift-codegen-0.82.1,fm-f3m,117.25,980816
build_benchmarks_rustc-perf_cranelift-codegen-0.82.1,fm,198.53,2249432
build_benchmarks_rustc-perf_cranelift-codegen-0.82.1,fm-ir2vec,227.66,4638856
build_benchmarks_rustc-perf_helloworld,baseline,4.71,245472
build_benchmarks_rustc-perf_helloworld,fm-f3m,27.78,295208
build_benchmarks_rustc-perf_helloworld,fm,35.03,347308
build_benchmarks_rustc-perf_helloworld,fm-ir2vec,31.50,1509216
build_benchmarks_rustc-perf_html5ever-0.26.0,baseline,5.55,288644
build_benchmarks_rustc-perf_html5ever-0.26.0,fm-f3m,31.11,323804
build_benchmarks_rustc-perf_html5ever-0.26.0,fm,40.76,387700
build_benchmarks_rustc-perf_html5ever-0.26.0,fm-ir2vec,46.74,1748096
build_benchmarks_rustc-perf_image-0.24.1,baseline,23.66,786908
build_benchmarks_rustc-perf_image-0.24.1,fm-f3m,159.37,885068
build_benchmarks_rustc-perf_image-0.24.1,fm,221.90,1008480
build_benchmarks_rustc-perf_image-0.24.1,fm-ir2vec,561.65,6180680
build_benchmarks_rustc-perf_libc-0.2.124,baseline,4.70,247968
build_benchmarks_rustc-perf_libc-0.2.124,fm-f3m,27.77,295228
build_benchmarks_rustc-perf_libc-0.2.124,fm,35.93,346968
build_benchmarks_rustc-perf_libc-0.2.124,fm-ir2vec,31.45,1511912
build_benchmarks_rustc-perf_regex-1.5.5,baseline,19.01,809840
build_benchmarks_rustc-perf_regex-1.5.5,fm-f3m,183.52,1297592
build_benchmarks_rustc-perf_regex-1.5.5,fm,213.87,1297856
build_benchmarks_rustc-perf_regex-1.5.5,fm-ir2vec,335.48,6568224
build_benchmarks_rustc-perf_ripgrep-13.0.0,baseline,19.76,743488
build_benchmarks_rustc-perf_ripgrep-13.0.0,fm-f3m,123.62,806632
build_benchmarks_rustc-perf_ripgrep-13.0.0,fm,195.17,1800840
build_benchmarks_rustc-perf_ripgrep-13.0.0,fm-ir2vec,404.24,5083132
build_benchmarks_rustc-perf_unicode-normalization-0.1.19,baseline,5.06,257556
build_benchmarks_rustc-perf_unicode-normalization-0.1.19,fm-f3m,30.53,309988
build_benchmarks_rustc-perf_unicode-normalization-0.1.19,fm,39.12,362484
build_benchmarks_rustc-perf_unicode-normalization-0.1.19,fm-ir2vec,34.35,1604488
build_benchmarks_sqlite_sqlite3,baseline,2.48,134116
build_benchmarks_sqlite_sqlite3,fm-f3m,24.50,424832
build_benchmarks_sqlite_sqlite3,fm,24.86,414148
build_benchmarks_sqlite_sqlite3,fm-ir2vec,22.14,871192
bazel-bin_benchmarks_quake_ioq3ded,baseline,2.34,117764
bazel-bin_benchmarks_quake_ioq3ded,fm-f3m,8.94,152016
bazel-bin_benchmarks_quake_ioq3ded,fm,11.27,159752
bazel-bin_benchmarks_quake_ioq3ded,fm-ir2vec,14.27,787284
bazel-bin_benchmarks_quake_ioquake3,baseline,3.97,144864
bazel-bin_benchmarks_quake_ioquake3,fm-f3m,12.70,164144
bazel-bin_benchmarks_quake_ioquake3,fm,15.50,185868
bazel-bin_benchmarks_quake_ioquake3,fm-ir2vec,22.56,961228
