benchmark	pass	text_before	text_after	reduction_pct	time_s	status
build_benchmarks_linux_vmlinux.o	FM	17132325	17224108	0	1271.842	ok
build_benchmarks_linux_vmlinux.o	IR2Vec	17132325	N/A	N/A	480.657	FAILED
build_benchmarks_mibench_automotive_basicmath_basicmath_large	FM	4525	4415	3.00	.101	ok
build_benchmarks_mibench_automotive_basicmath_basicmath_large	IR2Vec	4525	4415	3.00	.071	ok
build_benchmarks_mibench_automotive_basicmath_basicmath_small	FM	3702	3600	3.00	.038	ok
build_benchmarks_mibench_automotive_basicmath_basicmath_small	IR2Vec	3702	3600	3.00	.056	ok
build_benchmarks_mibench_automotive_bitcount_bitcount	FM	3109	3458	-11.00	.045	ok
build_benchmarks_mibench_automotive_bitcount_bitcount	IR2Vec	3109	3458	-11.00	.056	ok
build_benchmarks_mibench_automotive_qsort_qsort_large	FM	873	873	0	.023	ok
build_benchmarks_mibench_automotive_qsort_qsort_large	IR2Vec	873	873	0	.029	ok
build_benchmarks_mibench_automotive_qsort_qsort_small	FM	526	526	0	.022	ok
build_benchmarks_mibench_automotive_qsort_qsort_small	IR2Vec	526	526	0	.029	ok
build_benchmarks_mibench_automotive_susan_susan	FM	38258	36128	6.00	4.523	ok
build_benchmarks_mibench_automotive_susan_susan	IR2Vec	38258	35404	8.00	1.963	ok
build_benchmarks_mibench_consumer_jpeg_cjpeg	FM	180658	183612	-1.00	4.359	ok
build_benchmarks_mibench_consumer_jpeg_cjpeg	IR2Vec	180658	182753	-1.00	4.441	ok
build_benchmarks_mibench_consumer_jpeg_djpeg	FM	174299	176527	-1.00	3.907	ok
build_benchmarks_mibench_consumer_jpeg_djpeg	IR2Vec	174299	175868	0	4.058	ok
build_benchmarks_rustc-perf_bitmaps-3.1.0	FM	2873795	2609806	10.00	62.310	ok
build_benchmarks_rustc-perf_bitmaps-3.1.0	IR2Vec	2873795	2491055	14.00	160.188	ok
build_benchmarks_rustc-perf_cranelift-codegen-0.82.1	FM	4932174	4333413	13.00	168.537	ok
build_benchmarks_rustc-perf_cranelift-codegen-0.82.1	IR2Vec	4932174	3998252	19.00	295.873	ok
build_benchmarks_rustc-perf_helloworld	FM	1413190	1364877	4.00	38.302	ok
build_benchmarks_rustc-perf_helloworld	IR2Vec	1413190	1318343	7.00	41.915	ok
build_benchmarks_rustc-perf_html5ever-0.26.0	FM	2011459	1918342	5.00	43.909	ok
build_benchmarks_rustc-perf_html5ever-0.26.0	IR2Vec	2011459	1869103	8.00	61.107	ok
build_benchmarks_rustc-perf_image-0.24.1	FM	7610923	6078977	21.00	231.071	ok
build_benchmarks_rustc-perf_image-0.24.1	IR2Vec	7610923	5837043	24.00	742.809	ok
build_benchmarks_rustc-perf_libc-0.2.124	FM	1413190	1364925	4.00	39.801	ok
build_benchmarks_rustc-perf_libc-0.2.124	IR2Vec	1413190	1318343	7.00	42.205	ok
build_benchmarks_rustc-perf_regex-1.5.5	FM	5088364	4510171	12.00	266.671	ok
build_benchmarks_rustc-perf_regex-1.5.5	IR2Vec	5088364	4372343	15.00	448.694	ok
build_benchmarks_rustc-perf_ripgrep-13.0.0	FM	6247579	5416446	14.00	178.839	ok
build_benchmarks_rustc-perf_ripgrep-13.0.0	IR2Vec	6247579	5120363	19.00	529.351	ok
build_benchmarks_rustc-perf_unicode-normalization-0.1.19	FM	1718389	1645607	5.00	42.830	ok
build_benchmarks_rustc-perf_unicode-normalization-0.1.19	IR2Vec	1718389	1599615	7.00	45.186	ok
