benchmark,pass,text_before,text_after,reduction_pct,time_s,status
linux_vmlinux.o,FM,17132325,17281620,0,1127.467,ok
linux_vmlinux.o,FM-Linear,17132325,17069585,1.00,1113.388,ok
linux_vmlinux.o,IR2Vec,17132325,17094580,1.00,7977.328,ok
mibench_automotive_basicmath_basicmath_large,FM,4525,4415,3.00,.031,ok
mibench_automotive_basicmath_basicmath_large,FM-Linear,4525,4415,3.00,.046,ok
mibench_automotive_basicmath_basicmath_large,IR2Vec,4525,4415,3.00,.062,ok
mibench_automotive_basicmath_basicmath_small,FM,3702,3600,3.00,.030,ok
mibench_automotive_basicmath_basicmath_small,FM-Linear,3702,3600,3.00,.046,ok
mibench_automotive_basicmath_basicmath_small,IR2Vec,3702,3600,3.00,.048,ok
mibench_automotive_bitcount_bitcount,FM,3109,3458,-11.00,.043,ok
mibench_automotive_bitcount_bitcount,FM-Linear,3109,3458,-11.00,.043,ok
mibench_automotive_bitcount_bitcount,IR2Vec,3109,3458,-11.00,.047,ok
mibench_automotive_qsort_qsort_large,FM,873,873,0,.017,ok
mibench_automotive_qsort_qsort_large,FM-Linear,873,873,0,.017,ok
mibench_automotive_qsort_qsort_large,IR2Vec,873,873,0,.023,ok
mibench_automotive_qsort_qsort_small,FM,526,526,0,.016,ok
mibench_automotive_qsort_qsort_small,FM-Linear,526,526,0,.018,ok
mibench_automotive_qsort_qsort_small,IR2Vec,526,526,0,.021,ok
mibench_automotive_susan_susan,FM,38258,39278,-2.00,5.125,ok
mibench_automotive_susan_susan,FM-Linear,38258,37578,2.00,5.088,ok
mibench_automotive_susan_susan,IR2Vec,38258,35404,8.00,2.841,ok
mibench_consumer_jpeg_cjpeg,FM,180658,183524,-1.00,4.488,ok
mibench_consumer_jpeg_cjpeg,FM-Linear,180658,182900,-1.00,5.976,ok
mibench_consumer_jpeg_cjpeg,IR2Vec,180658,183153,-1.00,4.348,ok
mibench_consumer_jpeg_djpeg,FM,174299,176279,-1.00,4.204,ok
mibench_consumer_jpeg_djpeg,FM-Linear,174299,176015,0,5.541,ok
mibench_consumer_jpeg_djpeg,IR2Vec,174299,176292,-1.00,4.061,ok
rustc-perf_bitmaps-3.1.0,FM,2873795,2645606,8.00,75.855,ok
rustc-perf_bitmaps-3.1.0,FM-Linear,2873795,2594359,10.00,90.521,ok
rustc-perf_bitmaps-3.1.0,IR2Vec,2873795,2486887,14.00,129.431,ok
rustc-perf_cranelift-codegen-0.82.1,FM,4932174,4391717,11.00,181.985,ok
rustc-perf_cranelift-codegen-0.82.1,FM-Linear,4932174,4313501,13.00,348.275,ok
rustc-perf_cranelift-codegen-0.82.1,IR2Vec,4932174,3987173,20.00,247.436,ok
rustc-perf_helloworld,FM,1413190,1379998,3.00,48.231,ok
rustc-perf_helloworld,FM-Linear,1413190,1356594,5.00,58.615,ok
rustc-perf_helloworld,IR2Vec,1413190,1317697,7.00,40.290,ok
rustc-perf_html5ever-0.26.0,FM,2011459,1935766,4.00,56.199,ok
rustc-perf_html5ever-0.26.0,FM-Linear,2011459,1897264,6.00,67.924,ok
rustc-perf_html5ever-0.26.0,IR2Vec,2011459,1868215,8.00,55.077,ok
rustc-perf_image-0.24.1,FM,7610923,6160781,20.00,273.670,ok
rustc-perf_image-0.24.1,FM-Linear,7610923,6112890,20.00,330.825,ok
rustc-perf_image-0.24.1,IR2Vec,7610923,5833927,24.00,597.317,ok
rustc-perf_libc-0.2.124,FM,1413190,1379998,3.00,50.577,ok
rustc-perf_libc-0.2.124,FM-Linear,1413190,1356594,5.00,58.005,ok
rustc-perf_libc-0.2.124,IR2Vec,1413190,1317641,7.00,41.485,ok
rustc-perf_regex-1.5.5,FM,5088364,4533060,11.00,347.599,ok
rustc-perf_regex-1.5.5,FM-Linear,5088364,4486436,12.00,376.723,ok
rustc-perf_regex-1.5.5,IR2Vec,5088364,4371899,15.00,459.802,ok
rustc-perf_ripgrep-13.0.0,FM,6247579,5432862,14.00,212.158,ok
rustc-perf_ripgrep-13.0.0,FM-Linear,6247579,5465018,13.00,288.498,ok
rustc-perf_ripgrep-13.0.0,IR2Vec,6247579,5117099,19.00,452.049,ok
rustc-perf_unicode-normalization-0.1.19,FM,1718389,1675773,3.00,51.514,ok
rustc-perf_unicode-normalization-0.1.19,FM-Linear,1718389,1642130,5.00,63.065,ok
rustc-perf_unicode-normalization-0.1.19,IR2Vec,1718389,1597541,8.00,40.754,ok
