benchmark,pass,text_before,text_after,reduction_pct,time_s,status
linux_vmlinux.o,FM,17132325,17224108,0,1006.282,ok
linux_vmlinux.o,FM-Linear,17132325,17046183,1.00,872.922,ok
linux_vmlinux.o,IR2Vec,17132325,17075630,1.00,7941.327,ok
mibench_automotive_basicmath_basicmath_large,FM,4525,4415,3.00,.031,ok
mibench_automotive_basicmath_basicmath_large,FM-Linear,4525,4415,3.00,.040,ok
mibench_automotive_basicmath_basicmath_large,IR2Vec,4525,4415,3.00,.053,ok
mibench_automotive_basicmath_basicmath_small,FM,3702,3600,3.00,.028,ok
mibench_automotive_basicmath_basicmath_small,FM-Linear,3702,3600,3.00,.033,ok
mibench_automotive_basicmath_basicmath_small,IR2Vec,3702,3600,3.00,.047,ok
mibench_automotive_bitcount_bitcount,FM,3109,3458,-11.00,.034,ok
mibench_automotive_bitcount_bitcount,FM-Linear,3109,3458,-11.00,.033,ok
mibench_automotive_bitcount_bitcount,IR2Vec,3109,3458,-11.00,.041,ok
mibench_automotive_qsort_qsort_large,FM,873,873,0,.015,ok
mibench_automotive_qsort_qsort_large,FM-Linear,873,873,0,.019,ok
mibench_automotive_qsort_qsort_large,IR2Vec,873,873,0,.027,ok
mibench_automotive_qsort_qsort_small,FM,526,526,0,.014,ok
mibench_automotive_qsort_qsort_small,FM-Linear,526,526,0,.017,ok
mibench_automotive_qsort_qsort_small,IR2Vec,526,526,0,.030,ok
mibench_automotive_susan_susan,FM,38258,36128,6.00,2.765,ok
mibench_automotive_susan_susan,FM-Linear,38258,37954,1.00,3.033,ok
mibench_automotive_susan_susan,IR2Vec,38258,35404,8.00,1.420,ok
mibench_consumer_jpeg_cjpeg,FM,180658,183612,-1.00,2.727,ok
mibench_consumer_jpeg_cjpeg,FM-Linear,180658,181260,0,3.205,ok
mibench_consumer_jpeg_cjpeg,IR2Vec,180658,182753,-1.00,3.121,ok
mibench_consumer_jpeg_djpeg,FM,174299,176527,-1.00,2.585,ok
mibench_consumer_jpeg_djpeg,FM-Linear,174299,174383,0,3.019,ok
mibench_consumer_jpeg_djpeg,IR2Vec,174299,175868,0,2.900,ok
rustc-perf_bitmaps-3.1.0,FM,2873795,2609806,10.00,44.364,ok
rustc-perf_bitmaps-3.1.0,FM-Linear,2873795,2587683,10.00,59.236,ok
rustc-perf_bitmaps-3.1.0,IR2Vec,2873795,2490951,14.00,122.839,ok
rustc-perf_cranelift-codegen-0.82.1,FM,4932174,4334601,13.00,116.093,ok
rustc-perf_cranelift-codegen-0.82.1,FM-Linear,4932174,4281105,14.00,195.471,ok
rustc-perf_cranelift-codegen-0.82.1,IR2Vec,4932174,3998196,19.00,224.696,ok
rustc-perf_helloworld,FM,1413190,1364877,4.00,27.344,ok
rustc-perf_helloworld,FM-Linear,1413190,1350968,5.00,34.273,ok
rustc-perf_helloworld,IR2Vec,1413190,1318343,7.00,31.196,ok
rustc-perf_html5ever-0.26.0,FM,2011459,1918342,5.00,30.598,ok
rustc-perf_html5ever-0.26.0,FM-Linear,2011459,1890696,7.00,41.098,ok
rustc-perf_html5ever-0.26.0,IR2Vec,2011459,1869103,8.00,46.283,ok
rustc-perf_image-0.24.1,FM,7610923,6077201,21.00,156.771,ok
rustc-perf_image-0.24.1,FM-Linear,7610923,6049050,21.00,220.402,ok
rustc-perf_image-0.24.1,IR2Vec,7610923,5836931,24.00,553.530,ok
rustc-perf_libc-0.2.124,FM,1413190,1364877,4.00,27.179,ok
rustc-perf_libc-0.2.124,FM-Linear,1413190,1350968,5.00,35.133,ok
rustc-perf_libc-0.2.124,IR2Vec,1413190,1318343,7.00,31.202,ok
rustc-perf_regex-1.5.5,FM,5088364,4510171,12.00,179.385,ok
rustc-perf_regex-1.5.5,FM-Linear,5088364,4479136,12.00,215.666,ok
rustc-perf_regex-1.5.5,IR2Vec,5088364,4372343,15.00,328.225,ok
rustc-perf_ripgrep-13.0.0,FM,6247579,5416534,14.00,121.185,ok
rustc-perf_ripgrep-13.0.0,FM-Linear,6247579,5431582,14.00,198.012,ok
rustc-perf_ripgrep-13.0.0,IR2Vec,6247579,5120331,19.00,399.427,ok
rustc-perf_unicode-normalization-0.1.19,FM,1718389,1645655,5.00,30.013,ok
rustc-perf_unicode-normalization-0.1.19,FM-Linear,1718389,1631580,6.00,37.279,ok
rustc-perf_unicode-normalization-0.1.19,IR2Vec,1718389,1599503,7.00,34.026,ok
