program_name,pass_name,size
build_benchmarks_linux_vmlinux.o,baseline,14637972
build_benchmarks_linux_vmlinux.o,fm-f3m,14852556
build_benchmarks_linux_vmlinux.o,fm,14692202
build_benchmarks_linux_vmlinux.o,fm-ir2vec,14712457
build_benchmarks_redis_redis,baseline,1725147
build_benchmarks_redis_redis,fm-f3m,1729454
build_benchmarks_redis_redis,fm,1728571
build_benchmarks_redis_redis,fm-ir2vec,1724331
build_benchmarks_rustc-perf_bitmaps-3.1.0,baseline,2651888
build_benchmarks_rustc-perf_bitmaps-3.1.0,fm-f3m,2609854
build_benchmarks_rustc-perf_bitmaps-3.1.0,fm,2587683
build_benchmarks_rustc-perf_bitmaps-3.1.0,fm-ir2vec,2490951
build_benchmarks_rustc-perf_cranelift-codegen-0.82.1,baseline,4304841
build_benchmarks_rustc-perf_cranelift-codegen-0.82.1,fm-f3m,4334281
build_benchmarks_rustc-perf_cranelift-codegen-0.82.1,fm,4281241
build_benchmarks_rustc-perf_cranelift-codegen-0.82.1,fm-ir2vec,3998212
build_benchmarks_rustc-perf_helloworld,baseline,1388329
build_benchmarks_rustc-perf_helloworld,fm-f3m,1364877
build_benchmarks_rustc-perf_helloworld,fm,1350968
build_benchmarks_rustc-perf_helloworld,fm-ir2vec,1318343
build_benchmarks_rustc-perf_html5ever-0.26.0,baseline,1951187
build_benchmarks_rustc-perf_html5ever-0.26.0,fm-f3m,1918342
build_benchmarks_rustc-perf_html5ever-0.26.0,fm,1890696
build_benchmarks_rustc-perf_html5ever-0.26.0,fm-ir2vec,1868799
build_benchmarks_rustc-perf_image-0.24.1,baseline,6427740
build_benchmarks_rustc-perf_image-0.24.1,fm-f3m,6079165
build_benchmarks_rustc-perf_image-0.24.1,fm,6048690
build_benchmarks_rustc-perf_image-0.24.1,fm-ir2vec,5841275
build_benchmarks_rustc-perf_libc-0.2.124,baseline,1388329
build_benchmarks_rustc-perf_libc-0.2.124,fm-f3m,1364925
build_benchmarks_rustc-perf_libc-0.2.124,fm,1350968
build_benchmarks_rustc-perf_libc-0.2.124,fm-ir2vec,1318343
build_benchmarks_rustc-perf_regex-1.5.5,baseline,4425827
build_benchmarks_rustc-perf_regex-1.5.5,fm-f3m,4510171
build_benchmarks_rustc-perf_regex-1.5.5,fm,4479136
build_benchmarks_rustc-perf_regex-1.5.5,fm-ir2vec,4372343
build_benchmarks_rustc-perf_ripgrep-13.0.0,baseline,5519147
build_benchmarks_rustc-perf_ripgrep-13.0.0,fm-f3m,5416618
build_benchmarks_rustc-perf_ripgrep-13.0.0,fm,5431634
build_benchmarks_rustc-perf_ripgrep-13.0.0,fm-ir2vec,5120483
build_benchmarks_rustc-perf_unicode-normalization-0.1.19,baseline,1679079
build_benchmarks_rustc-perf_unicode-normalization-0.1.19,fm-f3m,1645655
build_benchmarks_rustc-perf_unicode-normalization-0.1.19,fm,1631580
build_benchmarks_rustc-perf_unicode-normalization-0.1.19,fm-ir2vec,1599503
build_benchmarks_sqlite_sqlite3,baseline,733240
build_benchmarks_sqlite_sqlite3,fm-f3m,753682
build_benchmarks_sqlite_sqlite3,fm,745875
build_benchmarks_sqlite_sqlite3,fm-ir2vec,748475
bazel-bin_benchmarks_quake_ioq3ded,baseline,721469
bazel-bin_benchmarks_quake_ioq3ded,fm-f3m,710644
bazel-bin_benchmarks_quake_ioq3ded,fm,709360
bazel-bin_benchmarks_quake_ioq3ded,fm-ir2vec,710578
bazel-bin_benchmarks_quake_ioquake3,baseline,924471
bazel-bin_benchmarks_quake_ioquake3,fm-f3m,911742
bazel-bin_benchmarks_quake_ioquake3,fm,914874
bazel-bin_benchmarks_quake_ioquake3,fm-ir2vec,912857
